# Created at 2020-06-08 18:05 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
1,1,DOT1,-2459013.37700031,-4300042.36337972,4006672.31170866,39.156193306,-119.763423333,1416.429,0,TRM55971.00     NONE,Carson City,TRIMBLE,TRIMBLE NETR3,Nav 4.70 / Boot 4.70,4849K59551
10,10,YER1,-2419323.67230729,-4335572.92580149,3992458.12211782,38.992024328,-119.162262744,1317.903,0,TRM57971.00     NONE,Yerington,TRIMBLE,TRIMBLE NETR9,Nav 5.10 / Boot 5.10,5531R50063
11,11,WWRF,-2441735.741246,-4280322.4988278,4037877.72227505,39.520199522,-119.702857103,1326.259,0,TRM57971.00     NONE,Sparks,TRIMBLE,TRIMBLE NETR5,Nav 4.87 / Boot 4.87,5009K65842
12,12,ZOLE,-2448970.30627077,-4284229.33159468,4029451.21457839,39.421665347,-119.753341725,1357.954,0,TRM55971.00     NONE,Reno 2,TRIMBLE,TRIMBLE NETR5,,
13,13,NVEK,-2099918.8090849,-4353065.7048042,4150344.45226585,40.8440614,-115.752660512,1538.6338,0,TRM55971.00     NONE,Elko,TRIMBLE,TRIMBLE NETR9,Nav 5.03 / Boot 5.03,
14,14,NVMM,-2450013.96194125,-4281376.68284669,4031827.19542076,39.449391072,-119.780309292,1354.877,0,TRM55971.00     NONE,Monsen Marty,TRIMBLE,TRIMBLE NETR3,,
2,2,FLN1,-2373022.44614272,-4322991.47360792,4033198.12558183,39.466618242,-118.763732031,1187.939,0,TRM57971.00     NONE,Fallon,TRIMBLE,TRIMBLE NETR9,Nav 5.10 / Boot 5.10,5531R50045
3,3,COF1,-2404166.70532643,-4294597.98779201,4045091.77634451,39.605013169,-119.240617656,1252.621,0,TRM55971.00     NONE,Fernley,TRIMBLE,TRIMBLE 5700,Nav 0.00 / Boot 2.32,0220315230
4,4,GARD,-2462137.08198372,-4317957.47727742,3985701.82726033,38.912477794,-119.6921663,1497.158,0,TRM57971.00     NONE,Gardnerville,TRIMBLE,TRIMBLE NETR9,Nav 5.10 / Boot 5.10,5523R50015
5,5,GERL,-2376482.84611277,-4224325.10218571,4133768.70553909,40.649803964,-119.360844186,1187.435,0,TRM57971.00     NONE,Geriach,TRIMBLE,TRIMBLE NETR9,Nav 5.10 / Boot 5.10,5528R50015
6,6,INV1,-2471379.27187049,-4285651.07214225,4015264.61945522,39.2521342,-119.970486764,1948.714,0,TRM57971.00     NONE,Incline Village,TRIMBLE,TRIMBLE NETR5,Nav 4.87 / Boot 4.87,4724K06291
7,7,RNO1,-2454845.41856058,-4271556.62944711,4039524.51830315,39.537902342,-119.8857991,1531.277,0,TRM115000.00    NONE,Northwest Reno,TRIMBLE,TRIMBLE ALLOY,Nav 5.33 / Boot 5.33,5818R40038
8,8,SSB2,-2439695.8098849,-4273329.21840348,4046500.59961091,39.620696331,-119.722573364,1357.915,0,TRM55971.00     NONE,Sparks Spanish Springs,TRIMBLE,TRIMBLE NETRS,,
9,9,STEA,-2451597.44644988,-4266274.1386916,4047027.59468847,39.625537967,-119.8836573,1534.864,0,TRM57971.00     NONE,Reno,TRIMBLE,TRIMBLE NETR5,Nav 4.87 / Boot 4.87,5009K65828
