# Created at 2020-06-08 17:52 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
163,440,IDDR,-1662644.32881345,-4308750.05025499,4386923.57595731,43.719653089,-111.100417319,1868.931,0,TRM55971.00     NONE,Driggs Idaho,TRIMBLE,TRIMBLE ALLOY,Nav 5.37 / Boot 5.37,5920R40043
162,439,NVMM,-1651974.31045601,-4234925.64604612,4460887.45081917,44.652682829,-111.309932475,1300,0,TRM55971.00     NONE,Monsen Marty,TRIMBLE,TRIMBLE NETR3,,
161,438,NVC1,-2201863.71149896,-4673287.20246244,3729403.83899518,36.0086967,-115.227915061,733.997,0,TRM55971.00     NONE,Clark County 1,TRIMBLE,TRIMBLE ALLOY,Nav 5.37 / Boot 5.37,5826R40028
160,437,IDMU,-2081260.78399073,-4165066.07050918,4345663.21404944,43.216750819,-116.551048319,849.402,0,TRM55971.00     NONE,Murphy Idaho,TRIMBLE,TRIMBLE NETR5,Nav 4.87 / Boot 4.87,4728K10293
145,435,WYJA,-1643924.07711424,-4335794.33384252,4367477.95730489,43.477707481,-110.764311169,1908.367,0,TRM57971.00     NONE,Jackson Hole,TRIMBLE,TRIMBLE NETR9,Nav 4.62 / Boot 4.62,5314K42538
158,434,COCO,-1622263.23230547,-4815626.04367253,3844745.50685919,37.296845739,-108.617376211,1804.657,0,TRM115000.00    NONE,Cortez Colorado,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5746R51460
155,432,IDJ2,-1947856.59611834,-4270222.28236616,4305951.32231442,42.725892744,-114.520041481,1133.85,0,TRM55971.00     NONE,Jerome2,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,
144,430,IDMN,-2056057.98805522,-4144356.19273938,4377042.9359454,43.606040189,-116.386485361,786.908,0,TRM57971.00     NONE,Land Solutions Meridian,TRIMBLE,TRIMBLE NETR9,Nav 5.43 / Boot 5.43,5240K50063
142,428,UTWB,-1798727.02204243,-4497956.08666951,4137307.43270382,40.6894474,-111.796408339,1492.736,0,TRM57971.00     NONE,Wasatch Boulevard,TRIMBLE,TRIMBLE NETR9,Nav 5.03 / Boot 5.03,5552R50059
139,425,UTD2,-1701640.39499764,-4575540.01576362,4093654.7466155,40.171690253,-110.400135489,1680.104,0,TRM57971.00     NONE,Duchesne2,TRIMBLE,TRIMBLE NETR9,Nav 5.03 / Boot 5.03,5552R50058
138,423,NVCS,-2155163.831,-4637604.657,3799995.383,36.799330653,-114.924993708,685.8203,0,TRM57971.00     NONE,Nevada - Coyote Springs,TRIMBLE,TRIMBLE NETR9,Nav 5.03 / Boot 5.03,5628R50377
137,422,IDHA,-1907803.52497507,-4222695.89504843,4370554.45920302,43.518315394,-114.313334417,1621.963,0,TRM55971.00     NONE,Hailey Idaho,TRIMBLE,TRIMBLE NETR3,Nav 4.70 / Boot 4.70,4833K57797
91,421,WYSI,-1549807.368,-4561929.5831,4168721.3031,41.058099636,-108.763974156,2178.2,0,TRM57971.00     NONE,Simons,TRIMBLE,TRIMBLE NETR9,Nav 4.43 / Boot 4.43,5151K80865
88,420,WYRS,-1572450.36,-4513367.139,4212187.859,41.581080095,-109.208260266,1921.7061,0,TRM57971.00     NONE,Rock Springs,TRIMBLE,TRIMBLE NETR9,Nav 4.43 / Boot 4.43,5151K80857
90,419,WYKE,-1671531.0751,-4461951.8961,4228922.5212,41.781404144,-110.536894528,2090.624,0,TRM57971.00     NONE,Kemmerer,TRIMBLE,TRIMBLE NETR9,Nav 4.43 / Boot 4.43,5152K80918
93,418,WYDP,-1641940.5471,-4428117.4152,4275888.1493,42.348675409,-110.344719091,2347.79,0,TRM57971.00     NONE,Wyoming Dry Piney,TRIMBLE,TRIMBLE NETR9,Nav 4.81 / Boot 4.81,5424R48887
92,417,WYBF,-1639495.825,-4491602.9189,4209905.3609,41.553615634,-110.052766086,1922.281,0,TRM57971.00     NONE,Blacks Fork Wyoming,TRIMBLE,TRIMBLE NETR9,Nav 4.81 / Boot 4.81,5409K48092
71,416,UTWE,-1967928.37434225,-4421983.14712574,4141815.20236158,40.744677789,-113.990641664,1275.2421,0,TRM57971.00     NONE,Wendover,TRIMBLE,TRIMBLE ALLOY,Nav 5.33 / Boot 5.33,5821R40036
2,415,UTWA,-1765435.781,-4502607.564,4146986.759,40.80207682,-111.40974151,1800.8624,0,TRM57971.00     NONE,Wanship,TRIMBLE,TRIMBLE NETR9,Nav 5.03 / Boot 5.03,5607R50055
14,414,UTUC,-1624760.432,-4581629.288,4117751.164,40.45667386,-109.525780482,1619.4939,0,TRM55971.00     NONE,Uintah County Vernal,TRIMBLE,TRIMBLE ALLOY,Nav 5.37 / Boot 5.37,5922R40082
30,413,UTTP,-1902123.063,-4688113.383,3873947.51,37.62746857,-112.084026005,1914.7865,0,TRM55971.00     NONE,Tropic,TRIMBLE,TRIMBLE NETR3,Nav 0.00 / Boot 3.63,4832K57693
7,412,UTTA,-1721619.285,-4554501.507,4109090.337,40.351547824,-110.706787134,1975.7537,0,TRM55971.00     NONE,Tabiona,TRIMBLE,TRIMBLE ALLOY,Nav 5.37 / Boot 5.37,5921R40148
99,411,UTSO,-1803506.4371,-4488987.6989,4144749.1692,40.778674161,-111.888406242,1388.359,0,TRM55971.00     NONE,State Office Building,TRIMBLE,TRIMBLE NETR3,Nav 4.70 / Boot 4.70,4834K57891
13,410,UTSL,-1805100.693,-4491556.586,4141134.549,40.736519205,-111.894580585,1284.339,0,TRM57971.00     NONE,Salt Lake City Water Dept.,TRIMBLE,TRIMBLE NETR9,Nav 4.81 / Boot 4.81,5240K50052
31,409,UTSG,-2042751.542,-4672758.905,3819031.419,37.013074563,-113.613109811,796.5976,0,TRM55971.00     NONE,Saint George Port of Entry,TRIMBLE,TRIMBLE NETR3,Nav 0.00 / Boot 3.63,4839K58750
47,408,UTS2,-1801968.293,-4539320.597,4090581.919,40.137835792,-111.651529477,1371.4698,0,TRM115000.00    NONE,Spanish Fork,TRIMBLE,TRIMBLE ALLOY,Nav 5.33 / Boot 5.33,5818R40054
129,407,IDRU,-1891950.445,-4300690.312,4300780.939,42.661493868,-113.745551074,1264.5421,0,TRM55971.00     NONE,Rupert Idaho,TRIMBLE,TRIMBLE NETRS,Nav 5.03 / Boot 5.03,
36,406,UTRS,-1797229.299,-4411707.031,4228943.713,41.787739312,-112.164866345,1334.809,0,TRM57971.00     NONE,Riverside,TRIMBLE,TRIMBLE ALLOY,Nav 5.33 / Boot 5.33,5824R40107
54,405,UTRO,-1666196.177,-4579107.333,4103941.833,40.29409458,-109.99488877,1538.0381,0,TRM55971.00     NONE,Roosevelt,TRIMBLE,TRIMBLE NETR3,Nav 4.41 / Boot 4.41,4833K57764
